id,word,ee,ea,oo,ou
109,Nod,FALSE,FALSE,FALSE,FALSE
110,Net,FALSE,FALSE,FALSE,FALSE
111,Not,FALSE,FALSE,FALSE,FALSE
112,Nut,FALSE,FALSE,FALSE,FALSE
113,Oar,FALSE,FALSE,FALSE,FALSE
114,One,FALSE,FALSE,FALSE,FALSE
115,Out,FALSE,FALSE,FALSE,FALSE
116,Owl,FALSE,FALSE,FALSE,FALSE
117,Old,FALSE,FALSE,FALSE,FALSE
118,Own,FALSE,FALSE,FALSE,FALSE
119,Odd,FALSE,FALSE,FALSE,FALSE
120,Our,FALSE,FALSE,FALSE,FALSE
121,Pet,FALSE,FALSE,FALSE,FALSE
122,Pat,FALSE,FALSE,FALSE,FALSE
123,Peg,FALSE,FALSE,FALSE,FALSE
124,Paw,FALSE,FALSE,FALSE,FALSE
125,Pup,FALSE,FALSE,FALSE,FALSE
126,Pit,FALSE,FALSE,FALSE,FALSE
127,Put,FALSE,FALSE,FALSE,FALSE
128,Pot,FALSE,FALSE,FALSE,FALSE
129,Pop,FALSE,FALSE,FALSE,FALSE
130,Pin,FALSE,FALSE,FALSE,FALSE
131,Rat,FALSE,FALSE,FALSE,FALSE
132,Rag,FALSE,FALSE,FALSE,FALSE
133,Rub,FALSE,FALSE,FALSE,FALSE
134,Row,FALSE,FALSE,FALSE,FALSE
135,Rug,FALSE,FALSE,FALSE,FALSE
136,Run,FALSE,FALSE,FALSE,FALSE
137,Rap,FALSE,FALSE,FALSE,FALSE
138,Ram,FALSE,FALSE,FALSE,FALSE
139,Sow,FALSE,FALSE,FALSE,FALSE
140,See,FALSE,FALSE,FALSE,FALSE
141,Saw,FALSE,FALSE,FALSE,FALSE
142,Set,FALSE,FALSE,FALSE,FALSE
143,Sit,FALSE,FALSE,FALSE,FALSE
144,Sir,FALSE,FALSE,FALSE,FALSE
145,Sat,FALSE,FALSE,FALSE,FALSE
146,Sob,FALSE,FALSE,FALSE,FALSE
147,Tap,FALSE,FALSE,FALSE,FALSE
148,Tip,FALSE,FALSE,FALSE,FALSE
149,Top,FALSE,FALSE,FALSE,FALSE
150,Tug,FALSE,FALSE,FALSE,FALSE
151,Tow,FALSE,FALSE,FALSE,FALSE
152,Toe,FALSE,FALSE,FALSE,FALSE
153,Tan,FALSE,FALSE,FALSE,FALSE
154,Ten,FALSE,FALSE,FALSE,FALSE
155,Two,FALSE,FALSE,FALSE,FALSE
156,Use,FALSE,FALSE,FALSE,FALSE
157,Van,FALSE,FALSE,FALSE,FALSE
158,Vet,FALSE,FALSE,FALSE,FALSE
159,Was,FALSE,FALSE,FALSE,FALSE
160,Wet,FALSE,FALSE,FALSE,FALSE
161,Win,FALSE,FALSE,FALSE,FALSE
162,Won,FALSE,FALSE,FALSE,FALSE
163,Wig,FALSE,FALSE,FALSE,FALSE
164,War,FALSE,FALSE,FALSE,FALSE
165,Why,FALSE,FALSE,FALSE,FALSE
166,Who,FALSE,FALSE,FALSE,FALSE
167,Way,FALSE,FALSE,FALSE,FALSE
168,Wow,FALSE,FALSE,FALSE,FALSE
169,You,FALSE,FALSE,FALSE,FALSE
170,Yes,FALSE,FALSE,FALSE,FALSE
171,Yak,FALSE,FALSE,FALSE,FALSE
172,Yet,FALSE,FALSE,FALSE,FALSE
173,Zip,FALSE,FALSE,FALSE,FALSE
174,Zap,FALSE,FALSE,FALSE,FALSE
